STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_013,Area,CEN23_WRD_003,Weekly rent paid by household,CEN23_TIH_001,Total household income,CEN23_HOH_002,Household composition,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,99,Area Outside Region,03,$300 - $399,99,Total - total household income,2,Two-family household (with or without other people),,,c,Confidential
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,05,Gisborne Region,777,Total stated - weekly rent paid by household,99,Total - total household income,1,One-family household (with or without other people),3198,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,18,Marlborough Region,04,$400 - $499,99,Total - total household income,3,Three or more family household (with or without other people),0,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,14,Otago Region,02,$200 - $299,99,Total - total household income,3,Three or more family household (with or without other people),0,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,05,Gisborne Region,08,$800 and over,99,Total - total household income,2,Two-family household (with or without other people),6,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,03,Waikato Region,03,$300 - $399,99,Total - total household income,99,Total - household composition,9795,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,05,Gisborne Region,08,$800 and over,99,Total - total household income,77,Total stated - household composition,72,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,02,Auckland Region,01,Under $200,99,Total - total household income,5,One-person household,8322,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,18,Marlborough Region,777,Total stated - weekly rent paid by household,99,Total - total household income,6,Household composition unidentifiable,249,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,02,Auckland Region,08,$800 and over,99,Total - total household income,4,Other multi-person household,4185,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,07,Taranaki Region,05,$500 - $599,99,Total - total household income,99,Total - household composition,1425,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,03,Waikato Region,01,Under $200,99,Total - total household income,99,Total - household composition,8184,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,04,Bay of Plenty Region,777,Total stated - weekly rent paid by household,99,Total - total household income,6,Household composition unidentifiable,2646,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,15,Southland Region,03,$300 - $399,99,Total - total household income,77,Total stated - household composition,2673,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,17,Nelson Region,08,$800 and over,99,Total - total household income,4,Other multi-person household,15,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,16,Tasman Region,07,$700 - $799,99,Total - total household income,6,Household composition unidentifiable,0,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,13,Canterbury Region,02,$200 - $299,99,Total - total household income,1,One-family household (with or without other people),3108,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,99,Not elsewhere included,99,Total - total household income,3,Three or more family household (with or without other people),12,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,14,Otago Region,01,Under $200,99,Total - total household income,4,Other multi-person household,633,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,02,Auckland Region,777,Total stated - weekly rent paid by household,99,Total - total household income,3,Three or more family household (with or without other people),930,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,03,$300 - $399,99,Total - total household income,4,Other multi-person household,5802,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,07,Taranaki Region,07,$700 - $799,99,Total - total household income,2,Two-family household (with or without other people),15,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,07,Taranaki Region,99,Not elsewhere included,99,Total - total household income,3,Three or more family household (with or without other people),0,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,18,Marlborough Region,03,$300 - $399,99,Total - total household income,5,One-person household,321,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,06,Hawke's Bay Region,06,$600 - $699,99,Total - total household income,4,Other multi-person household,135,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,15,Southland Region,04,$400 - $499,99,Total - total household income,2,Two-family household (with or without other people),45,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,07,Taranaki Region,04,$400 - $499,99,Total - total household income,5,One-person household,384,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,18,Marlborough Region,05,$500 - $599,99,Total - total household income,2,Two-family household (with or without other people),30,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,17,Nelson Region,08,$800 and over,99,Total - total household income,2,Two-family household (with or without other people),3,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,99,Area Outside Region,999,Total - weekly rent paid by household,99,Total - total household income,2,Two-family household (with or without other people),6,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,04,$400 - $499,99,Total - total household income,4,Other multi-person household,8349,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,15,Southland Region,02,$200 - $299,99,Total - total household income,99,Total - household composition,2457,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,05,Gisborne Region,03,$300 - $399,99,Total - total household income,1,One-family household (with or without other people),570,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,07,Taranaki Region,06,$600 - $699,99,Total - total household income,6,Household composition unidentifiable,36,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,09,Wellington Region,02,$200 - $299,99,Total - total household income,6,Household composition unidentifiable,273,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,99,Area Outside Region,03,$300 - $399,99,Total - total household income,4,Other multi-person household,,,c,Confidential
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,09,Wellington Region,05,$500 - $599,99,Total - total household income,77,Total stated - household composition,10215,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,15,Southland Region,03,$300 - $399,99,Total - total household income,99,Total - household composition,2844,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,05,Gisborne Region,03,$300 - $399,99,Total - total household income,99,Total - household composition,1056,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,16,Tasman Region,06,$600 - $699,99,Total - total household income,3,Three or more family household (with or without other people),0,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,01,Northland Region,05,$500 - $599,99,Total - total household income,6,Household composition unidentifiable,261,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,16,Tasman Region,99,Not elsewhere included,99,Total - total household income,5,One-person household,33,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,777,Total stated - weekly rent paid by household,99,Total - total household income,5,One-person household,124602,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,06,Hawke's Bay Region,01,Under $200,99,Total - total household income,99,Total - household composition,4098,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,12,West Coast Region,03,$300 - $399,99,Total - total household income,4,Other multi-person household,69,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,99,Area Outside Region,02,$200 - $299,99,Total - total household income,3,Three or more family household (with or without other people),,,c,Confidential
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,99,Area Outside Region,07,$700 - $799,99,Total - total household income,2,Two-family household (with or without other people),,,c,Confidential
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,99,Area Outside Region,02,$200 - $299,99,Total - total household income,77,Total stated - household composition,12,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,03,$300 - $399,99,Total - total household income,5,One-person household,26712,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,03,Waikato Region,777,Total stated - weekly rent paid by household,99,Total - total household income,4,Other multi-person household,4818,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,01,Northland Region,01,Under $200,99,Total - total household income,2,Two-family household (with or without other people),114,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,03,Waikato Region,01,Under $200,99,Total - total household income,6,Household composition unidentifiable,933,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,04,Bay of Plenty Region,02,$200 - $299,99,Total - total household income,99,Total - household composition,3114,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,18,Marlborough Region,04,$400 - $499,99,Total - total household income,4,Other multi-person household,90,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,15,Southland Region,01,Under $200,99,Total - total household income,99,Total - household composition,2445,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,14,Otago Region,99,Not elsewhere included,99,Total - total household income,3,Three or more family household (with or without other people),0,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,18,Marlborough Region,02,$200 - $299,99,Total - total household income,99,Total - household composition,699,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,09,Wellington Region,01,Under $200,99,Total - total household income,77,Total stated - household composition,7899,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,07,Taranaki Region,999,Total - weekly rent paid by household,99,Total - total household income,3,Three or more family household (with or without other people),15,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,16,Tasman Region,03,$300 - $399,99,Total - total household income,3,Three or more family household (with or without other people),0,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,06,Hawke's Bay Region,04,$400 - $499,99,Total - total household income,77,Total stated - household composition,3108,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,15,Southland Region,06,$600 - $699,99,Total - total household income,6,Household composition unidentifiable,9,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,18,Marlborough Region,08,$800 and over,99,Total - total household income,6,Household composition unidentifiable,3,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,07,Taranaki Region,777,Total stated - weekly rent paid by household,99,Total - total household income,99,Total - household composition,12051,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,07,Taranaki Region,03,$300 - $399,99,Total - total household income,77,Total stated - household composition,2550,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,12,West Coast Region,99,Not elsewhere included,99,Total - total household income,6,Household composition unidentifiable,12,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,03,Waikato Region,08,$800 and over,99,Total - total household income,5,One-person household,78,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,99,Area Outside Region,08,$800 and over,99,Total - total household income,5,One-person household,,,c,Confidential
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,04,Bay of Plenty Region,99,Not elsewhere included,99,Total - total household income,99,Total - household composition,537,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,18,Marlborough Region,03,$300 - $399,99,Total - total household income,2,Two-family household (with or without other people),15,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,16,Tasman Region,04,$400 - $499,99,Total - total household income,1,One-family household (with or without other people),645,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,04,Bay of Plenty Region,99,Not elsewhere included,99,Total - total household income,6,Household composition unidentifiable,90,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,18,Marlborough Region,99,Not elsewhere included,99,Total - total household income,6,Household composition unidentifiable,9,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,05,Gisborne Region,07,$700 - $799,99,Total - total household income,99,Total - household composition,123,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,03,Waikato Region,06,$600 - $699,99,Total - total household income,6,Household composition unidentifiable,288,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,14,Otago Region,06,$600 - $699,99,Total - total household income,1,One-family household (with or without other people),1230,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,09,Wellington Region,08,$800 and over,99,Total - total household income,4,Other multi-person household,2640,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,01,Northland Region,02,$200 - $299,99,Total - total household income,77,Total stated - household composition,2187,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,01,Northland Region,02,$200 - $299,99,Total - total household income,4,Other multi-person household,165,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,05,Gisborne Region,999,Total - weekly rent paid by household,99,Total - total household income,99,Total - household composition,5799,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,12,West Coast Region,03,$300 - $399,99,Total - total household income,5,One-person household,225,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,17,Nelson Region,04,$400 - $499,99,Total - total household income,99,Total - household composition,1554,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,06,Hawke's Bay Region,08,$800 and over,99,Total - total household income,77,Total stated - household composition,240,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,13,Canterbury Region,999,Total - weekly rent paid by household,99,Total - total household income,3,Three or more family household (with or without other people),66,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,12,West Coast Region,04,$400 - $499,99,Total - total household income,1,One-family household (with or without other people),144,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,06,Hawke's Bay Region,06,$600 - $699,99,Total - total household income,3,Three or more family household (with or without other people),6,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,06,Hawke's Bay Region,02,$200 - $299,99,Total - total household income,5,One-person household,681,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,999,Total - weekly rent paid by household,99,Total - total household income,77,Total stated - household composition,527727,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,06,Hawke's Bay Region,99,Not elsewhere included,99,Total - total household income,77,Total stated - household composition,267,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,14,Otago Region,02,$200 - $299,99,Total - total household income,99,Total - household composition,3300,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,04,Bay of Plenty Region,01,Under $200,99,Total - total household income,2,Two-family household (with or without other people),162,,,
